"","time","S","I","R","Date","A","Rm","total_infected"
"1",1,5175.6,1578,218,2020-03-25,1578,218,1796
"2",2,5001.82057243497,1667.20850499705,302.570922567976,2020-03-26,1793,238,1969.77942756503
"3",3,4824.87445277447,1754.96849880753,391.757048418003,2020-03-27,1876,285,2146.72554722553
"4",4,4645.70407182415,1840.4348771864,485.46105098945,2020-03-28,1973,347,2325.89592817585
"5",5,4465.28803325849,1922.77033182091,583.541634920606,2020-03-29,2048,422,2506.31196674151
"6",6,4284.61913543819,2001.16688163136,685.813982930454,2020-03-30,2110,516,2686.98086456182
"7",7,4104.67981066179,2074.86724550435,792.052943833866,2020-03-31,2186,580,2866.92018933822
"8",8,3926.42012351342,2143.18430656594,901.995569920642,2020-04-01,2218,690,3045.17987648658
"9",9,3750.7382394294,2205.51664411839,1015.34511645221,2020-04-02,2299,817,3220.8617605706
"10",10,3578.46122147576,2261.3626242233,1131.77615430093,2020-04-03,2453,880,3393.13877852424
"11",11,3410.33119815402,2310.32881791063,1250.93998393536,2020-04-04,2511,972,3561.26880184599
"12",12,3246.99610961713,2352.133703191,1372.47018719187,2020-04-05,2596,1066,3724.60389038287
"13",13,3089.00252611171,2386.60882464729,1495.988649241,2020-04-06,2490,1303,3882.59747388829
"14",14,2936.79338004102,2413.69525961312,1621.11136034586,2020-04-07,2579,1384,4034.80661995898
"15",15,2790.70903378785,2433.43700267098,1747.45396354118,2020-04-08,2567,1552,4180.89096621215
"16",16,2650.99154056849,2445.97159013196,1874.63686929955,2020-04-09,2553,1675,4320.60845943151
"17",17,2517.79102943528,2451.51911380393,2002.28985676079,2020-04-10,2446,1900,4453.80897056472
"18",18,2391.17392793544,2450.37000711576,2130.05606494881,2020-04-11,2462,2068,4580.42607206457
"19",19,2271.13241159618,2442.87226120523,2257.59532719859,2020-04-12,2499,2184,4700.46758840383
"20",20,2157.59443189227,2429.41873217505,2384.58683593268,2020-04-13,2464,2353,4814.00556810773
"21",21,2050.43381284855,2410.43502470215,2510.7311624493,2020-04-14,2427,2560,4921.16618715145
"22",22,1949.48007718875,2386.36825597751,2635.75166683374,2020-04-15,2342,2730,5022.11992281125
"23",23,1854.52769794819,2357.67695163018,2759.39535042163,2020-04-16,2332,2850,5117.07230205181
"24",24,1765.34457259249,2324.82221293757,2881.43321446994,2020-04-17,2198,3053,5206.25542740751
"25",25,1681.67959682443,2288.26021009605,3001.66019307952,2020-04-18,2115,3190,5289.92040317557
"26",26,1603.26928246737,2248.43598836527,3119.89472916736,2020-04-19,2103,3286,5368.33071753263
"27",27,1529.84341613015,2205.7785232967,3235.97806057315,2020-04-20,2041,3384,5441.75658386986
"28",28,1461.12979473028,2160.69692635636,3349.77327891336,2020-04-21,2041,3441,5510.47020526972
"29",29,1396.85810097242,2113.5776809435,3461.16421808409,2020-04-22,1987,3545,5574.74189902759
"30",30,1336.7629986966,2064.78277856073,3570.05422274268,2020-04-23,NA,NA,5634.83700130341
"31",31,1280.58653656842,2014.64862319423,3676.36484023735,2020-04-24,NA,NA,5691.01346343158
"32",32,1228.07995083813,1963.48557649071,3780.03447267116,2020-04-25,NA,NA,5743.52004916187
"33",33,1179.00495559233,1911.57802504751,3881.01701936015,2020-04-26,NA,NA,5792.59504440767
"34",34,1133.13460353579,1859.18486241968,3979.28053404453,2020-04-27,NA,NA,5838.46539646421
"35",35,1090.25379307351,1806.54029098713,4074.80591593936,2020-04-28,NA,NA,5881.34620692649
"36",36,1050.15948841015,1753.85486263001,4167.58564895984,2020-04-29,NA,NA,5921.44051158985
"37",37,1012.66071588692,1701.31668364426,4257.62260046882,2020-04-30,NA,NA,5958.93928411308
"38",38,977.578379234327,1649.09273581891,4344.92888494677,2020-05-01,NA,NA,5994.02162076568
"39",39,944.744944224841,1597.33025670818,4429.52479906698,2020-05-02,NA,NA,6026.85505577516
"40",40,914.004023949954,1546.15814695773,4511.43782909231,2020-05-03,NA,NA,6057.59597605005
"41",41,885.209897450429,1495.68837058905,4590.70173196052,2020-05-04,NA,NA,6086.39010254957
"42",42,858.226982821651,1446.01732865815,4667.3556885202,2020-05-05,NA,NA,6113.37301717835
"43",43,832.929284897497,1397.22718786853,4741.44352723397,2020-05-06,NA,NA,6138.6707151025
"44",44,809.199832446439,1349.38715182023,4813.01301573333,2020-05-07,NA,NA,6162.40016755356
"45",45,786.930116460144,1302.55466663044,4882.11521690942,2020-05-08,NA,NA,6184.66988353986
"46",46,766.019538262437,1256.77655570218,4948.80390603538,2020-05-09,NA,NA,6205.58046173756
"47",47,746.374873918106,1212.09008097432,5013.13504510758,2020-05-10,NA,NA,6225.2251260819
"48",48,727.90975953065,1168.52392990405,5075.1663105653,2020-05-11,NA,NA,6243.69024046935
"49",49,710.544200532426,1126.09912893993,5134.95667052764,2020-05-12,NA,NA,6261.05579946757
